question,premise,hypothesis,label,llm_label,rationale,input
A man and a woman are talking in a restaurant.</s>Two men sat silently in a restaurant.,A man and a woman are talking in a restaurant.,Two men sat silently in a restaurant.,contradiction,contradiction,The man and woman are not two men.,A man and a woman are talking in a restaurant.</s>Two men sat silently in a restaurant.
Man sitting down at table apparently in thought with billboard of women's face in background.</s>A man is waiting for his partner to show up to dinner.,Man sitting down at table apparently in thought with billboard of women's face in background.,A man is waiting for his partner to show up to dinner.,neutral, ,"The man is sitting down at a table, which is where you would sit down to eat. The billboard of the woman's face could be his partner.",Man sitting down at table apparently in thought with billboard of women's face in background.</s>A man is waiting for his partner to show up to dinner.
Two kids are having an elephant ride along a river.</s>The kids own the elephant,Two kids are having an elephant ride along a river.,The kids own the elephant,neutral,neutral,"The kids are riding the elephant, but they may not own it.",Two kids are having an elephant ride along a river.</s>The kids own the elephant
A little boy in a blue hat and black bathing suit is staring at the ocean.</s>A boy is staring at a shark in the ocean.,A little boy in a blue hat and black bathing suit is staring at the ocean.,A boy is staring at a shark in the ocean.,neutral,neutral,"The boy is staring at the ocean, not necessarily at a shark.",A little boy in a blue hat and black bathing suit is staring at the ocean.</s>A boy is staring at a shark in the ocean.
An adult is braiding the hair of a young schoolgirl who sitting in a wooden chair in front of a tent with a baby in her lap.</s>A mother is braiding her daughter's hair in front of a tent with a baby on her lap.,An adult is braiding the hair of a young schoolgirl who sitting in a wooden chair in front of a tent with a baby in her lap.,A mother is braiding her daughter's hair in front of a tent with a baby on her lap.,neutral,neutral,The adult is not necessarily the mother of the young schoolgirl.,An adult is braiding the hair of a young schoolgirl who sitting in a wooden chair in front of a tent with a baby in her lap.</s>A mother is braiding her daughter's hair in front of a tent with a baby on her lap.
"Orchestra members, one female, two males, one unidentifiable, are practicing on their stringed instruments</s>People are on a band","Orchestra members, one female, two males, one unidentifiable, are practicing on their stringed instruments",People are on a band,neutral,entailment,Orchestra members are people.,"Orchestra members, one female, two males, one unidentifiable, are practicing on their stringed instruments</s>People are on a band"
A man is sitting outside near a river.</s>A man waits for his fishing pole to catch something.,A man is sitting outside near a river.,A man waits for his fishing pole to catch something.,neutral,entailment,"The man is sitting near a river, so he is probably fishing.",A man is sitting outside near a river.</s>A man waits for his fishing pole to catch something.
People walking past a wall topped with razor wire.</s>There are people outside,People walking past a wall topped with razor wire.,There are people outside,entailment,entailment,The people are outside because they are walking past a wall topped with razor wire.,People walking past a wall topped with razor wire.</s>There are people outside
A man in a cream blazer and fedora plays the saxophone.</s>A man in a jacket is playing an instrument.,A man in a cream blazer and fedora plays the saxophone.,A man in a jacket is playing an instrument.,entailment,entailment,A blazer is a type of jacket. A saxophone is a type of instrument.,A man in a cream blazer and fedora plays the saxophone.</s>A man in a jacket is playing an instrument.
A group of girls and two are pulling on some type of yarn item in a girls bag.</s>girls are together,A group of girls and two are pulling on some type of yarn item in a girls bag.,girls are together,entailment,entailment,The girls are together because they are all in the same picture.,A group of girls and two are pulling on some type of yarn item in a girls bag.</s>girls are together
An older asian woman displaying bread for sale</s>The woman is young and caucasian.,An older asian woman displaying bread for sale,The woman is young and caucasian.,contradiction,contradiction,The woman is not young and the woman is not caucasian.,An older asian woman displaying bread for sale</s>The woman is young and caucasian.
