,question,choices,answer,rationales
5074,That person next to me is always on her cell phone.,"['feel important', 'know what time', 'talk about themselves', 'issues', 'own house']",talk about themselves,
5075,The American Civil war was fought to free people from what?,"['prisoner', 'independence', 'caged in', 'topfree', 'slavery']",slavery,
5076,The Coast Guard is a police force that often does what?,"['board vessels', 'direct traffic', 'ocean', 'force law', 'arrest']",board vessels,
5077,The ECB was focused on fighting inflation without concern for other issues.  This obviously caused what?,"['celebration', 'deflation', 'recession', 'spend more', 'problems']",problems,
5078,The Mongallan gazelle to the southern region of where?,"['game preserve', 'desert', 'wildlife refuge', 'ivory coast', 'sudan']",sudan,
5079,The ability to remember things is a sign of what?,"['neuronal network', 'memories', 'intelligence', 'recall', 'learning about']",intelligence,
5080,The aboriginal people ended up being displaced by settlers who justified themselves with the fact that the displaced people didn't have a formal system to do what?,"['fight back', 'spend time', 'own home', 'talk to each other', 'own land']",own land,
5081,The address label was attached to the 3 pound what?,"['envelope', 'parcel', 'shelf', 'desk drawer', 'junk mail']",parcel,
5082,The amateur didn't realize his chicken wouldn't lay enough eggs without a what?,"['tuna', 'eaten', 'rooster', 'cow', 'chopped']",rooster,
5083,The animals all knew the importants of fluids.  They also knew what was safe to do what?,"['drink', 'feel pain', 'bite', 'fly', 'gay']",drink,
5084,The animals were in the back of the van.  Sally and Jim were nervoud about that.  They were afraid their pets might get hurt during the what?,"['get cold', 'lie down', 'move', 'travel', 'feel pain']",move,
5085,The aorta is the main artery in what area of the body?,"['neck', 'own brain', 'human body', 'torso', 'heart']",torso,
5086,The area between oceans and continents is very?,"['bridges', 'wide', 'salt water in', 'wet', 'very deep']",wide,
5087,The area of land next to the ocean is called what?,"['underwater', 'surface of earth', 'waterfalls', 'delta', 'beach']",beach,
5088,The audience got up at intermission and bought pop corn.  What might they be watching?,"['movies', 'school', 'theatre', 'event', 'new york']",movies,
5089,The audience listened raptly.  They learned much from this.  What did the audience watch?,"['show', 'theatre', 'arena', 'presentation', 'concert hall']",presentation,
5090,The audience recognized the filming location.  Where might it have been filmed?,"['new york', 'america', 'theatre', 'movies', 'school']",new york,
5091,The audience sits enthralled watching a spectacular battle full of shooting and explosions.  Where is the audience most likely to be?,"['church', 'hockey game', 'movie theater', 'new york stadium', 'stadium']",movie theater,
5092,The baboon is a species of monkey native to where?,"['amazon basin', 'rain forest', 'zoological gardens', 'jungle', 'african continent']",african continent,
5093,The bad man tossed his bubblegum out of his window and onto the what?,"['theater', 'pocket', 'supermarket', 'sidewalk', 'street']",street,
5094,The baking open is sometimes made of brick in what kind of place where you get round food?,"['stove', 'house', ""person's kitchen"", 'pizza parlor', 'new york']",pizza parlor,
5095,The bald eagle flew over the potato fields over what region of the place known for them?,"['alaska', 'hells canyon', 'south lake tahoe', 'central idaho', 'canada']",central idaho,
5096,The bald eagle serves as what for America?,"['high tree', 'tree', 'national emblem', 'in washington', 'tree top']",national emblem,
5097,The banana was green and full of sugar.   Bart took a bite and immediately felt what?,"['cloy', 'ripe', 'processed', 'yellow', 'glucose']",cloy,
5098,The baseball team was playing ball. It was time for the pitcher to act. How did the pitcher get the ball to the batter?,"['lose', 'injury', 'competition', 'throwing', 'rolled']",throwing,
5099,The belief that we don't choose what happens in life is called what?,"['force', 'undecided', 'serendipity', 'reject', 'predetermination']",predetermination,
5100,The best thing a person can do for their health is to exercise and what?,"['eat well', 'drink lots of soda', 'own house', 'perfect world', 'live comfortably']",eat well,
5101,The best way to cure boredom at a high elevation with no buildings around is to do what?,"['do crossword puzzle', 'go skiing', 'play games', 'hang out at bar', 'sleep']",go skiing,
5102,The big match was today and those lucky enough to have tickets filled in to the what?,"['football stadium', 'bus depot', 'bath', 'surface of earth', 'apartment']",football stadium,
5103,The big rolling machines made tons of newspapers everyday simply by getting the stories what?,"['tree', 'recycled', 'written on paper', 'printed on paper', 'local']",printed on paper,
5104,The bird flies up in what?,"['sky', 'mountain', 'forest', 'nest', 'roof']",sky,
5105,The bird took flight by moving its what?,"['two legs', 'feathers', 'entertain yourself', 'head', 'two wings']",two wings,
5106,The bleachers full of hooligans roared through many chants and smoke bombs during the raucous what?,"['gymnasium', 'baseball stadium', 'soccer game', 'sports match', 'football stadium']",soccer game,
5107,The bookend was on a shelf in what location?,"['bookshelf', 'pair', 'school cafeteria', 'library book', 'school library']",school library,
5108,The boy loved to surprise his mother by jumping out from hiding and giving her a good what?,"['laugh', 'scare', 'send flowers', 'keep secret', 'laugh']",scare,
5109,The breaker that distributes electricity in your home is usually found where?,"['basement', 'bedroom', 'concert', 'opera', 'back yard']",basement,
5110,The bulky man enjoyed to eat hamburger or anything else high in what?,"['protein', 'crack', 'cook one', 'satisfy hunger', 'good to eat']",protein,
5111,The business did not make profit.  What did it do?,"['deficit', 'lose money', 'expense', 'losing money', 'gain money']",lose money,
5112,The cabinets were imported from the south. John bought they because he knew that they would look good.  Where might they be installed?,"['kitchen', 'pantry', 'containing pots and pans', 'in a flight', 'mexico']",kitchen,
5113,The carotid is a main artery susceptible to damage where?,"['neck', 'face', 'busy city', 'torso', 'human body']",neck,
5114,The cashier said if you want to buy food you have to do what?,"['need to eat', 'spend money', 'drive your car.', 'paying', 'hunger']",spend money,
5115,The cat is going to the castle. Why is he going there?,"['use the litterbox', 'meow', 'sleep all day', 'live many years', 'see king']",see king,
5116,The cat knew to come just by the sound of what being opened?,"['tuna fish', 'food now', 'nap', 'train', 'four legs']",tuna fish,
5117,The cat was annoying because it would not leave James alone.  Whenever he locked himself down for work it would find its way into where?,"['microwave', 'meat loaf', 'outside', 'backyard', 'bedroom']",bedroom,
5118,The cat was wild but like all others he was always read for a cat what?,"['stealing', 'four legs', 'tuna fish', 'food now', 'nap']",nap,
5119,The cats hovered by the exit ready to what?,"['go outside', 'play in the yard', 'drink water', 'go out at night', 'play with toys']",go outside,
5120,The ceiling was soggy.  This suggested that the roof had what?,"['leak', 'building', 'field', 'metaphor', 'sag']",leak,
5121,The chess board had to be wheel chair accessible for the old folks living in the what?,"['retirement community', 'house', 'cabinet', 'toy store', 'old town']",retirement community,
5122,The child dreaded fall and having to what?,"['eat vegetables', 'go to school', 'have sex', 'eat vegetables', 'clean room']",go to school,
5123,The child pounded his mitt in excitement while enjoying his first game in the bleachers where?,"['football stadium', 'laboratory', 'baseball stadium', 'pharmacy', 'soccer game']",baseball stadium,
5124,The child was scorned for scratching the plate with his what?,"['cup', 'spoon', 'fork', 'saucer', 'bowl']",fork,
5125,The child was taken against its will and what the parents?,"['for or', 'away from', 'being for', 'because', 'for someone']",away from,
5126,The children gathered around the camp fire to do what?,"['play with toys', 'hear stories', 'play games', 'play house.', 'play ball']",hear stories,
5127,The children loved their pet weasel.  The teacher came every weekend to make sure it was fed and watered and exercised.  Children from all over the school came to visit the weasel.  Where did they come?,"['classroom', 'law firm', 'pet store', 'terrarium', 'chicken coop']",classroom,
5128,The city was very bright this time of year.  There was a much smaller population where?,"['suburbs', 'town', 'wilderness', 'outside', 'countryside']",countryside,
5129,The city's community garden was demolished for yet another what?,"['wasteland', 'ocean', 'desert', 'parking lot', 'flowers']",parking lot,
5130,The clicking away of a shorthand typewriter was doing what while hearing testimony?,"['anger', 'nodding', 'listening', 'take notes', 'writing down']",take notes,
5131,The comedian made a dull joke about a bald eagle and it ending up that way because of what treatment?,"['new york', 'canada', 'chemotherapy', 'rocky mountains', 'british columbia']",chemotherapy,
